% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.66    0.002322         331         7           mmap
 18.91    0.001054         263         4           close
 17.33    0.000966         966         1           write
  7.97    0.000444         444         1           execve
  4.04    0.000225         225         1           set_tid_address
  2.55    0.000142         142         1           set_robust_list
  1.27    0.000071          23         3           fstat
  1.22    0.000068          22         3           mprotect
  1.06    0.000059          19         3           brk
  0.88    0.000049          16         3           openat
  0.68    0.000038          19         2           pread64
  0.59    0.000033          33         1           prlimit64
  0.39    0.000022          22         1           rseq
  0.34    0.000019          19         1           read
  0.34    0.000019          19         1           getrandom
  0.27    0.000015          15         1           munmap
  0.25    0.000014          14         1           arch_prctl
  0.13    0.000007           3         2         1 access
  0.07    0.000004           4         1           fcntl
  0.05    0.000003           3         1           dup
------ ----------- ----------- --------- --------- ----------------
100.00    0.005574         142        39         1 total
