% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 40.10    0.001041         520         2           pread64
 15.45    0.000401         133         3           mprotect
 13.44    0.000349          49         7           mmap
 11.13    0.000289          72         4         1 openat
  8.90    0.000231         231         1           write
  3.04    0.000079          19         4           close
  2.62    0.000068          68         1           munmap
  2.12    0.000055          55         1         1 access
  1.81    0.000047          47         1           read
  0.62    0.000016           5         3           brk
  0.31    0.000008           2         3           fstat
  0.23    0.000006           6         1           set_robust_list
  0.12    0.000003           3         1           dup
  0.12    0.000003           3         1           fcntl
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.002596          66        39         2 total
